,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
708,The Godfather,"['Mario Puzo', 'Chris Rice']",Penguin Longman,1998,0582402417,9780582402416,56,4,88,,,,1998
709,The Making of the Godfather,['Mario Puzo'],Grand Central Publishing,2013-04-23,1455548936,9781455548934,42,,,US,0.99,USD,2013
711,"A Study Guide for Mario Puzo's ""The Godfather""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,1410346927,9781410346926,31,,,US,3.99,USD,2016
712,The Godfather Notebook,['Francis Ford Coppola'],Simon and Schuster,2016-12-20,1942872313,9781942872313,784,4,1,US,29.99,USD,2016
713,The Godfather's Revenge,['Mark Winegardner'],Penguin,2007-11-06,1101211296,9781101211298,624,,,US,9.99,USD,2007
715,Love Story [Fiftieth Anniversary Edition],['Erich Segal'],HarperCollins,2020-02-04,0063026023,9780063026025,176,3.5,41,US,7.99,USD,2020
716,Love Story,['Erich Segal'],VERGARA (SELLO),2011,8466648860,9788466648868,171,,,,,,2011
720,Love story [texte (gros caractères)],['Erich Segal'],Aylmer [Québec] : Éditions Jouvence,1992*,1568955200,9781568955209,233,,,,,,1992
721,Only Love,['Erich Segal'],Wheeler Pub Incorporated,1997,1444711563,9781444711561,265,3,1,,,,1997
724,Catching Fire,['Suzanne Collins'],Scholastic Press,2013,0545586178,9780545586177,391,3,5,,,,2013
725,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD,2020
726,Catching Fire,['Suzanne Collins'],Ernst Klett Sprachen GmbH,2015-04-13,3125781698,9783125781696,341,,,,,,2015
727,Catching Fire: the Hungar Games by Suzanne Collins -- Review,['Expert Book Reviews'],CreateSpace,2014-01-07,1494885905,9781494885908,40,,,,,,2014
729,The Hunger Games: Catching Fire: The Official Illustrated Movie Companion,['Kate Egan'],Scholastic Inc.,2013-11-22,0545647142,9780545647144,160,4,10,US,11.99,USD,2013
730,Catching Fire,"['Expert Book Reviews', 'Suzanne Collins']",CreateSpace,2014-02-23,1496035534,9781496035530,40,,,,,,2014
731,Quicklet on Suzanne Collins' Catching Fire (CliffNotes-like Book Summary and Analysis),['Stephanie Seales'],Hyperink Inc,2012-07-30,1614646309,9781614646303,29,,,,,,2012
732,"Hunger Games 4-Book Hardcover Box Set (the Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Press,2020-10-06,1338686534,9781338686531,1872,,,,,,2020
735,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD,2020
736,Mockingjay: by Suzanne Collins - Review,['Expert Book Reviews'],CreateSpace,2014-01-11,1494945258,9781494945251,44,,,,,,2014
737,Mockingjay: The Hunger Games - Book Three (Study Guide),['BookCaps Study Guides Staff'],BookCaps Study Guides,2011,161042901X,9781610429016,,5,7,US,3.97,USD,2011
739,"The Mockingjay, symbol of a revolution. Power and dangers of mass media in ""The Hunger Games"" trilogy by Suzanne Collins",['Iris Strimitzer'],GRIN Verlag,2016-10-24,3668325863,9783668325869,11,,,US,14.65,USD,2016
740,Mockingjay: by Suzanne Collins -- Sidekick,['Bookbuddy'],CreateSpace,2014-01-11,1494945290,9781494945299,38,,,,,,2014
742,CliffsNotes on Collins’ Mockingjay,['Janelle Blasdel'],Houghton Mifflin Harcourt,2014-05-06,1470106396,9781470106393,30,,,US,2.99,USD,2014
744,Kitchen,['Banana Yoshimoto'],Open Road + Grove/Atlantic,2015-09-15,0802190464,9780802190468,160,3.5,50,US,10.99,USD,2015
745,Kitchen,['Banana Yoshimoto'],Gallimard Education,1996,2070394867,9782070394869,149,,,,,,1996
746,KITCHEN,['Banana Yoshimoto'],"Tusquets Editores, S.A.",1994,8472238377,9788472238374,208,5,1,,,,1994
747,"A Study Guide for Mahoko Yoshimoto's ""Kitchen""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,1410350525,9781410350527,17,,,US,3.99,USD,2016
752,Kitchen,['Banana Yoshimoto'],Editions Gallimard,1994,,,148,,,,,,1994
754,Andromeda Nebula,"['Ivan Yefremov', 'Maria K.', 'PubRight Manuscript Services']",CreateSpace,2014-03-17,1497377730,9781497377738,368,,,,,,2014
755,Autobiography of a Yogi,['Paramahansa Yogananda'],The Floating Press,2009-01-01,1775411451,9781775411451,480,4,6,US,3.99,USD,2009
756,Autobiography Of A Yogi (english),['Yogananda (Paramahansa)'],Crystal Clarity Publishers,2010-01-30,8120725247,9788120725249,527,3.5,25,,,,2010
757,Autobiography of a Yogi,['Paramhansa Yogananda'],Sterling Publishers Pvt. Ltd,2003-12-01,0876123493,9780876123492,480,4,6,,,,2003
758,Autobiography of a Yogi (Japanese),['Paramahansa Yogananda'],Self-Realization Fellowship Publishers,2014-07-25,1515426629,9781515426622,606,,,,,,2014
763,Autobiography of a Yogi,['Paramahansa Yogananda'],Digireads.com,2018-04,8193540166,9788193540169,376,,,,,,2018
764,The Autobiography of a Yogi,"['Paramahansa Yogananda', 'SBP Editors']",Samaira Book Publishers,2017-11-04,,,640,,,US,0.99,USD,2017
767,Gone Girl,['Gillian Flynn'],Weidenfeld & Nicolson,2012,1780221355,9781780221359,466,3.5,938,,,,2012
768,The Complete Gillian Flynn,['Gillian Flynn'],Broadway Books,2014-10-21,0553419889,9780553419887,1072,,,,,,2014
770,The Gillian Flynn Collection,['Gillian Flynn'],Weidenfeld & Nicolson,2015-07-30,1474601960,9781474601962,,,,,,,2015
771,The Gillian Flynn Collection,['Gillian Flynn'],Hachette UK,2013-12-05,1780227876,9781780227870,1200,,,,,,2013
774,Gone Girl: by Gillian Flynn | Summary & Analysis,['Elite Summaries'],Elite Summaries,2018-05-08,,,,,,US,2.99,USD,2018
775,The Girl on the Train,['Paula Hawkins'],Penguin,2015-01-13,0698185390,9780698185395,336,3.5,2992,US,12.99,USD,2015
776,The Girl on the Train (Movie Tie-In),['Paula Hawkins'],Riverhead Books,2016-08-23,0735212155,9780735212152,336,3.5,2976,,,,2016
777,The Girl on the Train,['Paula Hawkins'],Random House,2015-01-15,1448171687,9781448171682,416,4.5,3,,,,2015
778,Into the Water,['Paula Hawkins'],Riverhead Books (Hardcover),2018-05,0735211221,9780735211223,400,,,,,,2018
779,Into the Water,['Paula Hawkins'],Penguin,2017-05-02,0735211213,9780735211216,400,3.5,85,US,12.99,USD,2017
780,A-z - the Girl on the Train,['Book*Sense'],Createspace Independent Publishing Platform,2015-12-26,1522915133,9781522915133,70,,,,,,2015
781,Summary of The Girl on the Train,['Instaread Summaries'],Idreambooks,2016-04-05,1945272147,9781945272141,28,,,,,,2016
782,The Girl on the Train by Paula Hawkins (Book Analysis),['Bright Summaries'],BrightSummaries.com,2017-11-03,2808004508,9782808004503,52,,,,,,2017
785,All Quiet on the Western Front,['Erich Maria Remarque'],Random House,2013-09-03,0812985532,9780812985535,240,4.5,7,US,7.99,USD,2013
786,All Quiet on the Western Front,"['Tony Evans', 'Erich Maria Remarque', 'Sarah Wimperis']",Real Reads,2014-03-01,1906230668,9781906230661,64,5,2,,,,2014
787,All Quiet on the Western Front,['Erich Maria Remarque'],Random House Trade Paperbacks,1996,191123823X,9781911238232,295,5,2,,,,1996
788,All Quiet on the Western Front,"['Erich Maria Remarque', 'Kenneth W. Fitch']",Classics Illustrated Vintage R,2019-03-21,0972976566,9780972976565,,,,,,,2019
791,All Quiet on the Western Front by Erich Maria Remarque (Book Analysis),['Bright Summaries'],BrightSummaries.com,2015-12-21,143811365X,9781438113654,24,,,,,,2015
792,Erich Maria Remarque's All Quiet on the Western Front,['Harold Bloom'],Infobase Publishing,2009,1645421112,9781645421115,224,5,2,,,,2009
793,All Quiet on the Western Front - Erich Maria Remarque,['Harold Bloom'],Infobase Publishing,2009-01-01,,,,,,,,,2009
794,Study Guide to All Quiet on the Western Front by Erich Maria Remarque,['Intelligent Education'],Influence Publishers,2020-02-15,,,74,,,US,5.99,USD,2020
795,The Bermuda Triangle,['Charles Berlitz'],Avon Books,1975,0380004658,9780380004652,252,3.5,7,,,,1975
796,Tracking the Bermuda Triangle,"['Jenna Vale', 'Aaron Rosenberg']","The Rosen Publishing Group, Inc",2018-12-15,1508185700,9781508185703,64,,,,,,2018
797,The Bermuda Triangle,['Gail B. Stewart'],Capstone,2009,160152336X,9781601523365,96,,,,,,2009
798,The Bermuda Triangle,['Jane Bingham'],Capstone,2014-11-01,1410969207,9781410969200,48,,,US,8.99,USD,2014
800,Charles Berlitz's World of the Odd and the Awesome,['Charles Berlitz'],Fawcett Books,1991,0449220133,9780449220139,272,,,,,,1991
804,Searching for the Bermuda Triangle,"['Aaron Rosenberg', 'Vivian E. Shumway']","The Rosen Publishing Group, Inc",2011-08-15,,,64,,,US,35.45,USD,2011
805,Things Fall Apart,['Chinua Achebe'],Penguin UK,2013-04-25,0141393963,9780141393964,176,3.5,211,,,,2013
806,Things Fall Apart,['Chinua Achebe'],Penguin,2010-10-06,0307743853,9780307743855,224,3,8,US,8.99,USD,2010
807,A Study Guide for Chinua Achebe's Things Fall Apart,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-09-15,1410336611,9781410336613,15,,,US,3.99,USD,2015
808,Things Fall Apart by Chinua Achebe (Book Analysis),['Bright Summaries'],BrightSummaries.com,2018-05-31,2808002262,9782808002264,62,,,,,,2018
809,Chinua Achebe's Things Fall Apart,['Isidore Okpewho'],Oxford University Press on Demand,2003,0195147634,9780195147636,275,,,,,,2003
811,Chinua Achebe's Things Fall Apart,"[""Sara Talis O'Brien""]",Research & Education Assoc.,1999,0878912339,9780878912339,140,,,,,,1999
812,Things Fall Apart (MAXNotes Literature Guides),"[""Sara O'Brien""]",Research & Education Assoc.,2015-04-24,0738672890,9780738672892,198,,,US,3.95,USD,2015
813,Achebe's Things Fall Apart,['Ode Ogede'],A&C Black,2007-05-16,0826490840,9780826490841,120,,,,,,2007
814,CliffsNotes on Achebe's Things Fall Apart,['John Chua'],Houghton Mifflin Harcourt,2011-05-18,0544184203,9780544184206,132,,,US,5.99,USD,2011
815,The Play of George Orwell's Animal Farm,"['Peter Hall', 'George Orwell']",Heinemann,1993,0435232916,9780435232917,143,1,1,,,,1993
816,Animal Farm,['George Orwell'],Transaction Publishers,2009,1412811902,9781412811903,113,4,1797,,,,2009
818,Animal Farm by George Orwell,['Jean Armstrong'],VCTA,1985,0358093155,9780358093152,81,,,,,,1985
819,Animal Farm,['George Orwell'],Houghton Mifflin,2019,0452277507,9780452277502,176,1,1,,,,2019
820,Animal Farm,['George Orwell'],Plume,1996,024119668X,9780241196687,114,4,1806,,,,1996
821,Animal Farm. The Illustrated Edition,['George Orwell'],Penguin Classics,2015-08-06,1438128711,9781438128719,128,,,,,,2015
822,George Orwell's Animal Farm,['Harold Bloom'],Infobase Publishing,2009,0582434475,9780582434479,175,4,1,,,,2009
823,Animal Farm,"['George Orwell', 'John Shuttleworth']",Longman Italia,2000,0008442649,9780008442644,144,,,,,,2000
824,Animal Farm (Collins Classics),['George Orwell'],HarperCollins UK,2021-01-07,,,144,4,331,,,,2021
825,Wolf Totem,['Jiang Rong'],Penguin Books,2015-09-08,0143109316,9780143109310,544,4,8,,,,2015
828,Wolf Totem and the Post-Mao Utopian,['Xiaojiang Li'],BRILL,2018-03-22,1594201846,9781594201844,592,,,,,,2018
832,Wolf Totem,['Jiang Rong'],Penguin,2008-03-27,,,544,4,9,US,9.99,USD,2008
833,Wolf Totem and the Post-Mao Utopian,['Xiaojiang Li'],BRILL,2018-03-22,,,592,,,,,,2018
834,The Happy Hooker,['Xaviera Hollander'],Harper Paperbacks,2002-06-04,0060014164,9780060014162,304,3,4,,,,2002
835,The Happy Hooker,['Xaviera Hollander'],Harper Collins,2011-07-26,0062116614,9780062116611,304,3.5,5,US,7.99,USD,2011
836,The Happy Hooker's Guide to Sex,['Xaviera Hollander'],Skyhorse,2008-05-17,1602392404,9781602392403,144,,,,,,2008
838,Prostitution in the Digital Age,['Ronald Barri Flowers'],ABC-CLIO,2011,0313384606,9780313384608,238,,,,,,2011
840,All in the Family,['Robert O. Self'],Hill and Wang,2012-09-18,1429955562,9781429955560,528,4,1,US,11.99,USD,2012
841,The People's almanac presents the book of lists #3,"['Amy Wallace', 'Irving Wallace']",Bantam Books,1988-09-01,0553278681,9780553278682,490,4,7,,,,1988
843,The Smith Tapes,['Ezra Bookstein'],Chronicle Books,2015-11-03,,,384,,,US,24.95,USD,2015
844,Jaws,['Peter Benchley'],Hutchinson Radius,1977,0345544145,9780345544148,128,3,70,,,,1977
845,Jaws,['Peter Benchley'],Ballantine Books,2013,1458720004,9781458720009,340,,,,,,2013
846,The Jaws Log,"['Carl Gottlieb', 'Peter Benchley']",ReadHowYouWant.com,2010-10-19,0345543599,9780345543592,288,4,2,,,,2010
847,Jaws 2-Book Bundle: Jaws and Shark Trouble,['Peter Benchley'],Random House,2012-12-17,0582435854,9780582435858,496,,,,,,2012
848,Jaws,['Peter Benchley'],Longman,2000-01,0929631145,9780929631141,36,,,,,,2000
849,Selected from Jaws,['Peter Benchley'],Literacy Volunteers of,1990,085170929X,9780851709291,63,,,,,,1990
852,Jaws,['Antonia Quirke'],Macmillan,2002-08-26,,,95,4.5,2,,,,2002
853,Jaws 2: The Making of the Hollywood Sequel,"['Louis R. Pisano', 'Michael A. Smith']",BearManor Media,2015-10-06,,,,,,US,9.95,USD,2015
854,Love You Forever,['Robert N. Munsch'],Firefly Books,1986,0920668372,9780920668375,32,4.5,346,,,,1986
855,Je T'aimerai Toujours / Love You Forever,['Robert N. Munsch'],Firefly Books Limited,1988-07,0920668496,9780920668498,32,5,1,,,,1988
856,Love You Forever,['Robert N. Munsch'],Firefly Books Limited,2000,1552091090,9781552091098,32,4,154,,,,2000
857,I Will Love You Forever,['Caroline Jayne Church'],Cartwheel Books,2016-08-30,0545942004,9780545942003,22,5,1,,,,2016
862,Love You Forever,['Robert N. Munsch'],Firefly Books,1986,,,32,4.5,346,,,,1986
866,The Love Children,['Marilyn French'],The Feminist Press at CUNY,2009-09-01,1558616217,9781558616219,329,4,2,US,15.99,USD,2009
867,The Bleeding Heart,['Marilyn French'],Open Road Media,2013-09-24,067144784X,9780671447847,408,,,US,10.99,USD,2013
868,From Eve to Dawn: A History of Women in the World Volume II,['Marilyn French'],The Feminist Press at CUNY,2008-04-01,034538248X,9780345382481,336,,,US,10.99,USD,2008
870,The Bleeding Heart,['Marilyn French'],Simon & Schuster,1980,1558616195,9781558616196,377,3.5,2,,,,1980
871,The War Against Women,['Marilyn French'],"Random House Digital, Inc.",1993,,,223,,,,,,1993
872,In the Name of Friendship,['Marilyn French'],The Feminist Press at CUNY,2008-02-01,,,408,2,1,US,15.99,USD,2008
873,From Eve to Dawn: A History of Women in the World Volume I,['Marilyn French'],The Feminist Press at CUNY,2008-04-01,,,336,,,US,10.99,USD,2008
874,What to Expect when You're Expecting,"['Arlene Eisenberg', 'Heidi Eisenberg Murkoff', 'Sandee Eisenberg Hathaway']",Workman Publishing Company,1996,089480829X,9780894808296,479,3,20,,,,1996
875,What to Expect when You're Expecting,"['Heidi Eisenberg Murkoff', 'Arlene Eisenberg', 'Sandee Eisenberg Hathaway']",Workman Publishing Company,2002,0761121323,9780761121329,597,4.5,31,,,,2002
876,What to Expect the Toddler Years,"['Arlene Eisenberg', 'Heidi Murkoff', 'Sandee Hathaway']",Workman Publishing,2009-12-20,0761151001,9780761151005,928,4,5,,,,2009
879,The What to Expect When You're Expecting Pregnancy Organizer,"['Arlene Eisenberg', 'Heidi Eisenberg Murkoff', 'Sandee E. Hathaway']",Workman Publishing Company,1995-01-06,1563058723,9781563058721,224,5,2,,,,1995
880,What to Expect when You're Expecting,"['Arlene Eisenberg', 'Heidi Murkoff', 'Sandee Eisenberg Hathaway', 'Sandee Hathaway']",Workman Publishing,1996,1563058758,9781563058752,479,4,180,,,,1996
881,What to Expect the First Year,"['Heidi Murkoff', 'Arlene Eisenberg', 'Sandee Hathaway']",Workman Publishing,2009-06-01,076115213X,9780761152132,806,4.5,32,,,,2009
883,What to Eat when You're Expecting,"['Arlene Eisenberg', 'Heidi Eisenberg Murkoff', 'Sandee Eisenberg Hathaway']",Workman Publishing Company,1986,0894800159,9780894800153,349,4,2,,,,1986
884,Adventures of Huckleberry Finn,['Mark Twain'],Courier Corporation,1994-05-26,0486280616,9780486280615,220,,,,,,1994
886,The Adventures of Huckleberry Finn,['Mark Twain'],Collector's Library,2004-02,1904633463,9781904633464,360,,,,,,2004
887,The Adventures of Huckleberry Finn,['Mark Twain'],Alma Classics,2016-08-25,1847496024,9781847496027,160,3.5,3395,,,,2016
889,The Adventures of Huckleberry Finn,"['Mark Twain', 'Guy Cardwell']",Penguin Classics,2009,0143105949,9780143105947,327,,,,,,2009
890,The Originals: The Adventures of Huckleberry Finn,['Mark Twain'],Om Books International,2018-07-05,9352763386,9789352763382,256,,,US,0.99,USD,2018
891,The Adventures of Huckleberry Finn,['Mark Twain'],Penguin Classics,2003,0141439645,9780141439648,393,,,,,,2003
892,Adventures of Huckleberry Finn,['Mark Twain'],SeaWolf Press,2018-05-03,1948132818,9781948132817,358,,,,,,2018
893,Adventures of Huck Finn,['Mark Twain'],Prestwick House Inc,2005-01-30,1580495834,9781580495837,280,5,2,US,4.99,USD,2005
894,"The Secret Diary of Adrian Mole, Aged 13 3/4",['Sue Townsend'],Open Road Media,2018-01-02,1504048857,9781504048859,261,,,US,9.99,USD,2018
895,"Adrian Mole, The Early Years",['Sue Townsend'],Open Road Media,2018-03-27,1504052226,9781504052221,480,,,US,10.99,USD,2018
896,The Secret Diary & Growing Pains of Adrian Mole Aged 13 3⁄4,['Sue Townsend'],Penguin UK,2017-03-23,1405932643,9781405932646,800,,,,,,2017
897,Adrian Mole: The Collected Poems,['Sue Townsend'],Michael Joseph,2017-03-16,0718188039,9780718188030,64,,,,,,2017
898,The Growing Pains of Adrian Mole,['Sue Townsend'],Open Road Media,2018-01-02,1504048830,9781504048835,277,3.5,3,US,9.99,USD,2018
899,Adrian Mole: The Prostrate Years,['Sue Townsend'],Open Road Media,2018-01-02,1504048814,9781504048811,283,4,7,US,9.99,USD,2018
900,Adrian Mole: The Cappuccino Years,['Sue Townsend'],Open Road Media,2018-01-02,1504048806,9781504048804,390,,,US,9.99,USD,2018
901,"The Lost Diaries of Adrian Mole, 1999–2001",['Sue Townsend'],Open Road Media,2018-01-02,1504048849,9781504048842,283,,,US,9.99,USD,2018
902,"Adrian Mole, The Later Years",['Sue Townsend'],Open Road Media,2018-05-29,150405413X,9781504054133,1030,,,US,3.99,USD,2018
903,Adrian Mole: The Wilderness Years,['Sue Townsend'],Open Road Media,2018-01-02,1504048822,9781504048828,182,3.5,4,US,9.99,USD,2018
906,Pride and Prejudice,['Jane Austen'],Modern Library Classics,2000,0743487591,9780743487597,304,4,1851,,,,2000
907,Jane Austen's Pride and Prejudice,['Jane Austen'],Puffin Books,2018-10,0615517153,9780615517155,336,,,,,,2018
908,Pride and Prejudice,"['Jane Austen', 'Karen Davidson']",Simon and Schuster,2004-05,9386019612,9789386019615,458,5,1,,,,2004
910,"Pride and Prejudice (World Classics, Unabridged)",['Jane Austen'],Alpha Editions,2017-02-01,0307950905,9780307950901,308,,,,,,2017
912,The Annotated Pride and Prejudice,['Jane Austen'],Anchor,2012,,,780,4,16,,,,2012
915,Kon-Tiki,['Thor Heyerdahl'],Simon and Schuster,2014-11-11,1632200171,9781632200174,304,5,1,,,,2014
917,Kon-Tiki,['Thor Heyerdahl'],Simon and Schuster,2013-05-07,1906165319,9781906165314,256,,,US,5.99,USD,2013
920,A Hero for the Atomic Age,['Axel Andersson'],Peter Lang,2010,039486364X,9780394863641,252,,,,,,2010
922,Voyage of the Kon-Tiki,['Dolores Engel'],Raintree,1979-01-01,,,31,,,,,,1979
923,"Kon-Tiki, a True Adventure of Survival at Sea","['Thor Heyerdahl', 'Lisa Norby']",Random House Books for Young Readers,1984,,,93,,,,,,1984
925,The Good Soldier Svejk,['Jaroslav Hašek'],Everyman's Library,1993,0679420363,9780679420361,800,4.5,2,,,,1993
926,The Good Soldier Svejk,['Jaroslav HaSek'],Penguin Classics,2005,0140449914,9780140449914,784,5,1,,,,2005
927,The Good Soldier Svejk and His Fortunes in the World War,['Jaroslav Hasek'],Harper Perennial Modern Classics,2018-08-07,0062835440,9780062835444,784,,,,,,2018
928,"The Fateful Adventures of the Good Soldier Švejk During the World War, Book(s) Three & Four",['Jaroslav Hašek'],Good Soldier Švejk,2009-05,1438916779,9781438916774,296,,,,,,2009
929,The Good Soldier: Schweik,['Jaroslav Hašek'],New American Library of Canada,1962,0140182748,9780140182743,447,3.5,19,,,,1962
931,Svejk,"['Colin Teevan', 'Jaroslav Hasek']",Oberon Books,1999,,,104,,,,,,1999
932,The Bad Bohemian,['Cecil Parrott'],Vintage,1978,,,296,,,,,,1978
934,Behind the Lines,"['Hašek, Jaroslav ']","Charles University in Prague, Karolinum Press",2016-08-01,,,110,,,US,9.06,USD,2016
935,Where the Wild Things Are,['Maurice Sendak'],Harper Collins,1988-11-09,0060254939,9780060254933,48,4,4553,,,,1988
937,Where the Wild Things Are: The Movie Storybook,"['Barb Bersche', 'Michelle Quint']",Harper Collins,2009-09-08,0061656860,9780061656866,48,5,1,,,,2009
938,Where the Wild Things Are,"['Marie-Helen Goyetche', 'Maurice Sendak']",Classroom Complete Press,2007,1553193237,9781553193234,55,,,,,,2007
939,Where the Wild Things Are: Puzzle Book,"['Alice Cameron', 'Maurice Sendak']",Harper Collins,2009-09-08,0061656852,9780061656859,14,4,1,,,,2009
940,Where the Wild Things Are: Max Plush Toy and Sticker Book,['Running Press'],RP Minis,2017-05-02,0762461551,9780762461554,16,,,,,,2017
942,Where the Wild Things Are Collector's Edition,['Maurice Sendak'],HarperCollins,2012-12-26,,,48,,,,,,2012
945,The Power of Positive Thinking,['Norman Vincent Peale'],Prabhat Prakashan,101-01-01,,,,,,US,0.99,USD,101-
946,Discovering The Power Of Positive Thinking,['Norman Vincent Peale'],Orient Paperbacks,2006-10,8122204120,9788122204124,160,5,1,,,,2006
947,The Power of Positive Thinking,['Norman Vincent Peale'],Touchstone Books,2003-03-12,0743234804,9780743234801,240,4.5,9,,,,2003
948,The Power of Positive Thinking,"['Norman Vincent Peale', 'General Press']",GENERAL PRESS,2018-10-31,938811857X,9789388118576,240,4,416,US,0.99,USD,2018
949,The Power of Positive Living,['Norman Vincent Peale'],Open Road Media,2015-09-29,1504023293,9781504023290,231,5,1,US,10.99,USD,2015
950,Positive Thinking Every Day,['Dr. Norman Vincent Peale'],Simon and Schuster,2008-06-30,0743261607,9780743261609,384,5,2,US,10.99,USD,2008
951,The Amazing Results of Positive Thinking,['Dr. Norman Vincent Peale'],Simon and Schuster,2007-11-01,1416590420,9781416590422,288,4,3,US,12.99,USD,2007
952,Positive Thinking Volume Two,['Norman Vincent Peale'],Open Road Media,2018-10-02,1504056175,9781504056175,1180,,,US,37.99,USD,2018
953,The Positive Principle Today,['Dr. Norman Vincent Peale'],Simon and Schuster,2007-11-01,1416589546,9781416589549,256,5,1,US,12.99,USD,2007
954,Positive Imaging,['Norman Vincent Peale'],Open Road Media,2015-09-29,1504023250,9781504023252,177,3.5,2,US,8.99,USD,2015
955,The Secret,['Rhonda Byrne'],Simon and Schuster,2011-07-07,0731815297,9780731815296,216,3,3596,,,,2011
958,The Secret Daily Teachings,['Rhonda Byrne'],Simon and Schuster,2013-08-27,1476751935,9781476751931,384,5,6,,,,2013
959,El Secreto (The Secret),['Rhonda Byrne'],Simon and Schuster,2009-08-25,1439102716,9781439102718,192,4.5,13,US,12.99,USD,2009
960,THE MAGIC,['Rhonda Byrne'],Simon and Schuster,2012-03-06,0731815599,9780731815593,272,3.5,7,,,,2012
961,The Power,['Rhonda Byrne'],Atria,2010-08-17,1439181780,9781439181782,272,4,16,,,,2010
962,The Greatest Secret,['Rhonda Byrne'],HarperCollins,2020-11-24,0063086433,9780063086432,276,,,US,13.99,USD,2020
963,The Secret Gratitude Book,['Rhonda Byrne'],Simon and Schuster,2007-12-11,158270208X,9781582702087,192,4.5,32,,,,2007
965,Fear of Flying,['Erica Jong'],Vintage,2015-01-15,0099598337,9780099598336,352,3.5,42,,,,2015
966,Fear of Flying,['Erica Jong'],Macmillan,2013-10-08,0805098585,9780805098587,355,4,1,,,,2013
967,Fear of Flying,['Erica Jong'],Open Road Media,2013-09-03,1453222081,9781453222089,311,3,84,US,19.99,USD,2013
968,Fear of Dying,['Erica Jong'],St. Martin's Press,2015-09-08,146687290X,9781466872905,256,3,3,US,11.99,USD,2015
969,Fear of Fifty,['Erica Jong'],Penguin,2006-09-07,1101153423,9781101153420,352,4,1,US,4.99,USD,2006
974,"The image of Germany and the Germans in Erica Jong’s ""Fear of Flying "" and Walter Abish’s ""How German Is It """,['Ulrike Miske'],GRIN Verlag,2008-09-09,,,68,,,US,10.99,USD,2008
975,Dune,['Frank Herbert'],Penguin,2003-08-26,1101658053,9781101658055,896,4,26,US,9.99,USD,2003
976,Dune,['Frank Herbert'],Berkley,1984,042507160X,9780425071601,544,4,257,,,,1984
977,Dreamer of Dune,['Brian Herbert'],Macmillan,2004-07,0765306476,9780765306470,592,3,2,,,,2004
978,Dune,['Frank Herbert'],Penguin,2005,0441013597,9780441013593,528,4.5,24,,,,2005
979,The Science of Dune,['Kevin Grazier'],"BenBella Books, Inc.",2009-06-22,1935251406,9781935251408,232,,,US,17.95,USD,2009
980,The Secrets of Frank Herbert's Dune,['James Van Hise'],iBooks,2001,074340730X,9780743407304,160,,,,,,2001
981,Dune Messiah,['Frank Herbert'],Ace,2020-07-07,0593201736,9780593201732,304,3.5,61,,,,2020
982,Frank Herbert's Dune Saga Collection: Books 1-3,['Frank Herbert'],Penguin,2020-12-22,0593437233,9780593437230,1856,,,US,26.99,USD,2020
983,Frank Herbert's Dune Saga Collection: Books 1 - 6,['Frank Herbert'],Penguin,2020-06-02,0593333020,9780593333020,3000,,,US,54.99,USD,2020
984,A Dune Companion,['Donald E. Palumbo'],McFarland,2018-08-03,1476633290,9781476633299,197,,,US,21.99,USD,2018
985,Charlie and the Chocolate Factory,['Roald Dahl'],Penguin,2016-09-06,0425287661,9780425287668,192,4,184,,,,2016
986,Charlie and the Chocolate Factory (Colour Edition),['Roald Dahl'],Penguin UK,2016-09-13,0141378557,9780141378558,160,4,201,,,,2016
989,Charlie and the Chocolate Factory,['Roald Dahl'],Penguin,2021-05-04,0593349660,9780593349663,192,,,,,,2021
990,Roald Dahl,['Michelle M. Houle'],"Enslow Publishers, Inc.",2006,0766023532,9780766023536,104,,,,,,2006
991,Chairlie and the Chocolate Works,['Roald Dahl'],Black & White Publishing Ltd,2016-09-28,1785301012,9781785301018,300,5,1,US,4.49,USD,2016
992,Charlie and the Chocolate Factory,"['Roald Dahl', 'Richard George']",Dramatic Publishing,1976,0871292203,9780871292209,60,4,15,,,,1976
993,Charlie and the Chocolate Factory by Roald Dahl,['Melanie Komar'],On The Mark Press,1996,1550353535,9781550353532,64,,,,,,1996
994,Roald Dahl's Charlie and the Chocolate Factory Whipple-Scrumptious Sticker Activity Book,['Puffin'],Puffin,2017-05-04,0141376708,9780141376707,16,,,,,,2017
