,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
210,CliffsNotes on Garcia Marquez' One Hundred Years of Solitude,['Carl Senna'],Houghton Mifflin Harcourt,2015-07-21,0544183126,9780544183124,62,,,US,5.99,USD,2015
211,Study Guide to One Hundred Years of Solitude by Gabriel Garcia Marquez,['Intelligent Education'],Influence Publishers,2020-02-15,1645421457,9781645421450,162,,,US,5.99,USD,2020
216,Lolita,['Vladīmir Vladimirovich Nabokov'],Vintage Books,1997,0679723161,9780679723165,317,5,3,,,,1997
217,Lolita (Edició en català),['Vladimir Nabokov'],Grupo Planeta Spain,2014-06-25,8499308996,9788499308999,,,,US,4.99,USD,2014
219,The Annotated Lolita,"['Владимир Владимирович Набоков', 'Vladimir Vladimirovich Nabokov']",Vintage,1991,0679727299,9780679727293,457,4,258,,,,1991
220,Vladimir Nabokov's Lolita,['Ellen Pifer'],"Oxford University Press, USA",2003,0195150325,9780195150322,209,,,,,,2003
221,Vladimir Nabokov,['John Lennard'],eBook Partnership,2012-10-21,1847602215,9781847602213,114,,,US,6.2,USD,2012
223,Lolita - The Story of a Cover Girl,"['John Bertram', 'Yuri Leving']",Simon and Schuster,2013-07-19,1440329885,9781440329883,256,,,US,3,USD,2013
224,Heidi,['Johanna Spyri'],Puffin Books,2014-08-28,0147514029,9780147514028,294,,,,,,2014
226,Heidi,"['Johanna Spyri', 'Eloise McGraw']",Simon and Schuster,2000-11-01,0689839626,9780689839627,285,4,3,,,,2000
228,Heidi - Johanna Spyri (Stage-1),['Johanna Spyri'],Maviçatı Yayınları,2020-01-22,6052942304,9786052942307,80,,,,,,2020
229,Heidi,['Johanna Spyri'],Dk Pub,2005-03,0756612764,9780756612764,48,,,,,,2005
230,Heidi,"['Johanna Spyri', 'Robert Blaisdell', 'Thea Kliros']",Courier Corporation,2011-11-02,0486401669,9780486401669,76,,,,,,2011
232,"Heidi, by Johanna Spyri (Author), Translated by Helen B. Dole",['Johanna Spyri'],Createspace Independent Publishing Platform,2016-04-02,1530863627,9781530863624,158,,,,,,2016
236,Dr. Spock's The First Two Years,['Benjamin Spock'],Simon and Schuster,2002-02-16,0674868110,9780674868113,176,,,US,10.99,USD,2002
237,Dr. Spock's The School Years,['Benjamin Spock'],Simon and Schuster,2002-02-16,0446561428,9780446561426,304,,,US,15.99,USD,2002
239,Taming the Troublesome Child,['Kathleen W. Jones'],Harvard University Press,1999,,,310,,,,,,1999
242,The Boomer Century 1946-2046,['Richard Croker'],Grand Central Publishing,2009-05-30,,,352,5,1,US,12.99,USD,2009
243,The 1950s,"['William H. Young', 'William H.. Young', 'Nancy K. Young']",Greenwood Publishing Group,2004,,,348,2,2,US,55,USD,2004
244,Anne of Green Gables,['L. M. Montgomery'],Simon and Schuster,2014-01-14,1442490004,9781442490000,448,,,,,,2014
245,"Anne of Green Gables, Complete 8-Book Box Set",['L. M. Montgomery'],Starfire,1990-09-01,0553609416,9780553609417,497,4.5,31,,,,1990
246,Anne Of Green Gables,['Lucy Maud Montgomery'],Modern Library Classics,2008,0812979036,9780812979039,287,5,2,,,,2008
247,Anne of Green Gables,['L. M. Montgomery'],ABDO,2011-08-01,1616416122,9781616416126,112,4.5,268,,,,2011
248,Anne of Green Gables,"['Lucy Maud Montgomery', 'Sally M. Stockton']",CIDEB/Black Cat Publishing,2013,8853013230,9788853013231,63,4.5,268,,,,2013
249,The Landscapes of Anne of Green Gables,['Catherine Reid'],Timber Press,2018-03-27,160469789X,9781604697896,280,4.5,3,,,,2018
250,Anne of Green Gables,['Lucy Maud Montgomery'],Simon and Schuster,2018-05-01,1684124034,9781684124039,324,,,US,4.99,USD,2018
